,School,Date_announced,In_effect_from,Effective_until,Num_on_day,Precautions,,Src,Unnamed: 7
902,Sweet Briar College,3/13/20,3/16/20,4/18/20,86,,,https://sbc.edu/campus-safety/covid-19/,
24,Talladega College,3/13/20,3/14/20,6/30/20,87,,,https://twitter.com/talladegacolleg/status/1238671033772781568?s=21,
829,Tennessee Technological University,3/13/20,3/14/20,6/30/20,88,,,https://www.tntech.edu/news/covid-19/index.php,
287,Trinity Christian College,3/13/20,3/13/20,6/30/20,89,,,https://www.trnty.edu/coronavirus/,
26,Tuskegee University,3/13/20,3/13/20,6/30/20,90,,,https://www.tuskegee.edu/coronavirus-resources,
38,University of Arkansas,3/13/20,3/16/20,6/30/20,91,,,https://www.5newsonline.com/article/news/health/coronavirus/ua-suspends-inperson-classes/527-e3439f36-9e34-4eaa-bf92-c88b1a42d8ac,
130,University of Denver,3/13/20,3/11/20,4/10/20,92,,,,
475,University of Missouri,3/13/20,3/13/20,6/30/20,93,,,https://mualert.missouri.edu/coronavirus/,
343,University of Pikeville,3/13/20,3/16/20,6/30/20,94,,,https://www.upike.edu/coronavirus/,
292,University of St. Francis,3/13/20,3/16/20,4/13/20,95,,,https://www.stfrancis.edu/emergency-alerts/,
166,University of the District of Columbia,3/13/20,3/13/20,6/30/20,96,,,http://docs.udc.edu/president/UDC-COVID-19_Memo_Update-3-13-20-final.pdf,
907,Virginia Military Institute,3/13/20,3/25/20,4/17/20,97,,,https://www.vmi.edu/cadet-life/health-and-safety/coronavirus-updates/,
327,Wabash College,3/13/20,3/13/20,3/27/20,98,,,https://www.wabash.edu/studentlife/coronaviruswabash,
536,Wake Technical Community College,3/13/20,3/14/20,6/30/20,99,,,https://www.waketech.edu/about-wake-tech/administrative-offices/environmental-health-and-safety/coronavirus,
911,Washington and Lee University,3/13/20,3/13/20,6/30/20,100,,,https://my.wlu.edu/emergency-management/2019-novel-coronavirus-(covid-19/community-updates/march-13-2020,
169,Wilmington University,3/13/20,3/16/20,6/30/20,101,,,https://www.wilmu.edu/alerts/coronavirus.aspx,
538,Wingate University,3/13/20,3/14/20,6/30/20,102,,,https://www.wingate.edu/coronavirus,
825,Fisk University,3/13/20,3/16/20,6/30/20,103,,,https://www.fisk.edu/articles/fisk-response-to-covid-19,
36,Hendrix College,3/13/20,3/13/20,5/17/20,104,,,https://www.hendrix.edu/coronavirus/,
18,Oakwood University,3/13/20,3/23/20,6/30/20,105,,,https://www2.oakwood.edu/wp-content/uploads/Campus-Transition-COVID-19-Statement-3-13-2020.pdf,
180,Seminole State College of Florida,3/13/20,3/14/20,3/30/20,106,,,https://www.seminolestate.edu/security/cdp/c19-updates,
450,St. Cloud State University,3/13/20,3/16/20,6/30/20,107,,,https://www.stcloudstate.edu/healthwellness/covid/default.aspx,
127,United States Air Force Academy,3/13/20,3/13/20,6/30/20,108,,,https://www.usafa.edu/app/uploads/Team-USAFA-5.pdf,*all Cadets except Class 1
866,"University of Texas, El Paso",3/13/20,3/18/20,6/30/20,109,,,https://www.utep.edu/ehs/COVID-19/coronavirus-update.html?HomeBanner,
736,Western Oregon University,3/13/20,3/14/20,6/12/20,110,,,https://wou.edu/coronavirus/,
507,Bennett College,3/14/20,3/16/20,6/30/20,1,Vacate dorms,,http://www.bennett.edu/news/statement-coronavirus/,
170,Bethune-Cookman University,3/14/20,3/16/20,3/30/20,2,Vacate dorms,,https://www.cookman.edu/covid.html,
801,Erskine College,3/14/20,3/16/20,4/6/20,3,,,https://www.erskine.edu/covid-19/,
462,Fontbonne University,3/14/20,3/16/20,4/13/20,4,,,https://www.fontbonne.edu/student-life/student-services/counseling-wellness/coronavirus-covid-19/,
270,Judson University,3/14/20,3/16/20,6/30/20,5,,,https://www.judsonu.edu/coronavirus/,
274,McKendree University,3/14/20,3/16/20,4/5/20,6,,,https://www.mckendree.edu/news/coronavirus-2020.php,
522,Methodist University,3/14/20,3/16/20,6/30/20,7,,,https://www.methodist.edu/coronavirus/,
90,Occidental College,3/14/20,3/12/20,6/30/20,8,,,,
281,Olivet Nazarene University,3/14/20,3/13/20,6/30/20,9,,,https://www.olivet.edu/news/coronavirus-march-13-campus-update,
284,Saint Xavier University,3/14/20,3/14/20,3/22/20,10,,,https://www.sxu.edu/coronavirus.asp,
218,Savannah College of Art and Design,3/14/20,3/14/20,6/30/20,11,,,https://www.scad.edu/coronavirus,
112,University of Redlands,3/14/20,3/23/20,6/30/20,12,,,,
324,University of Southern Indiana,3/14/20,3/12/20,4/6/20,13,,,https://www.usi.edu/covid-19,
837,University of the South,3/14/20,3/23/20,6/30/20,14,,,https://new.sewanee.edu/2019-novel-coronavirus-covid-19/,
190,Valencia College,3/14/20,3/14/20,3/29/20,15,,,https://valenciacollege.edu/alerts/covid-19.php,
818,Wofford College,3/14/20,3/14/20,4/5/20,16,,,https://www.wofford.edu/about/news/news-archives/2020/wofford-college-closing-now-for-spring-break,
266,Illinois College,3/14/20,3/14/20,4/12/20,17,,,https://www.ic.edu/news/COVID-19update,
193,Reed College,3/15/20,3/18/20,Indefinitely,1,,,,
606,"Hebrew Union College, New York",3/15/20,3/15/20,4/17/20,2,,,http://huc.edu/news/2020/03/19/covid-19-Ì¢‰âÂå¡ÌÄ‰Û¼ÌÄ‰Ûª-planning-and-preparedness,
77,Hebrew Union College-Los Angeles,3/15/20,3/17/20,6/20/20,3,,,http://huc.edu/news/2020/03/17/covid-19-Ì¢‰âÂå¡ÌÄ‰Û¼ÌÄ‰Ûª-planning-and-preparedness,
802,Francis Marion University,3/15/20,3/15/20,6/30/20,4,,,https://www.fmarion.edu/thelatestnews/,
766,Neumann University,3/15/20,3/16/20,6/30/20,5,,,https://www.neumann.edu/life/health_services/campus-health-update,
808,The Citadel,3/15/20,3/15/20,6/30/20,6,,,https://today.citadel.edu/information-and-actions-being-taken-related-to-covid-19/,
133,Albertus Magnus College,3/15/20,3/15/20,3/29/20,7,,,,
134,Asnuntuck Community College,3/15/20,3/15/20,3/29/20,8,,,,
198,Black Hills State University,3/16/20,3/23/20,4/3/20,5,,,,
205,Drew University,3/16/20,3/23/20,6/1/20,1,Vacate dorms,,,
195,Kansas State University,3/16/20,3/23/20,End of semester,2,Vacate dorms,,,
202,"California Polytechnic State University, San Luis Obispo",3/16/20,3/16/20,End of quarter,3,,,,
196,Clarion University,3/16/20,3/16/20,End of semester,4,,,,
200,Colorado Christian University,3/16/20,3/16/20,Indefinitely,5,,,,
201,Columbus State University,3/16/20,3/16/20,Indefinitely,6,,,,
203,Mt. San Antonio College,3/16/20,3/17/20,3/28/20,7,,,,
204,Salem State University,3/16/20,3/30/20,End of semester,8,,,,
197,Slippery Rock University,3/16/20,3/30/20,End of semester,9,,,,
199,University of South Dakota,3/16/20,3/23/20,4/10/20,10,,,,
194,University of Utah,3/16/20,3/18/20,End of semester,11,,,,
191,Abraham Baldwin Agricultural College,3/16/20,3/16/20,3/29/20,12,,,https://www.usg.edu/coronavirus,
193,Albany State University,3/16/20,3/16/20,3/29/20,13,,,https://www.usg.edu/coronavirus,
194,Atlanta Metropolitan State College,3/16/20,3/16/20,3/29/20,14,,,https://www.usg.edu/coronavirus,
195,Augusta University,3/16/20,3/16/20,3/29/20,15,,,https://www.usg.edu/coronavirus,
198,Clayton State University,3/16/20,3/16/20,3/29/20,16,,,https://www.usg.edu/coronavirus,
199,College of Coastal Georgia,3/16/20,3/16/20,3/29/20,17,,,https://www.usg.edu/coronavirus,
201,Dalton State College,3/16/20,3/16/20,3/29/20,18,,,https://www.usg.edu/coronavirus,
202,East Georgia State College,3/16/20,3/16/20,3/29/20,19,,,https://www.usg.edu/coronavirus,
204,Fort Valley State University,3/16/20,3/16/20,3/29/20,20,,,https://www.usg.edu/coronavirus,
205,Georgia College & State University,3/16/20,3/16/20,3/29/20,21,,,https://www.usg.edu/coronavirus,
206,Georgia Gwinnett College,3/16/20,3/16/20,3/29/20,22,,,https://www.usg.edu/coronavirus,
207,Georgia Highlands College,3/16/20,3/16/20,3/29/20,23,,,https://www.usg.edu/coronavirus,
209,Georgia Southern University,3/16/20,3/16/20,3/29/20,24,,,https://www.usg.edu/coronavirus,
210,Georgia Southwestern State University,3/16/20,3/16/20,3/29/20,25,,,https://www.usg.edu/coronavirus,
211,Georgia State University,3/16/20,3/16/20,3/29/20,26,,,https://www.usg.edu/coronavirus,
212,Gordon State College,3/16/20,3/16/20,3/29/20,27,,,https://www.usg.edu/coronavirus,
213,Kennesaw State University,3/16/20,3/16/20,3/29/20,28,,,https://www.usg.edu/coronavirus,
214,Middle Georgia State University,3/16/20,3/16/20,3/29/20,29,,,https://www.usg.edu/coronavirus,
219,Savannah State University,3/16/20,3/16/20,3/29/20,30,,,https://www.usg.edu/coronavirus,
220,South Georgia State College,3/16/20,3/16/20,3/29/20,31,,,https://www.usg.edu/coronavirus,
223,University of North Georgia,3/16/20,3/16/20,3/29/20,32,,,https://www.usg.edu/coronavirus,
224,University of West Georgia,3/16/20,3/16/20,3/29/20,33,,,https://www.usg.edu/coronavirus,
225,Valdosta State University,3/16/20,3/16/20,3/29/20,34,,,https://www.usg.edu/coronavirus,
62,"California State University, Maritime Academy",3/16/20,3/16/20,4/5/20,35,,,https://www.csum.edu/web/alert/covid-19,
966,University of Wyoming,3/16/20,3/16/20,6/30/20,36,,,http://www.uwyo.edu/uw/news/2020/03/uw-moves-to-online-course-delivery-for-remainder-of-spring-semester.html,
293,VanderCook College of Music,3/16/20,3/13/20,6/30/20,37,,,https://www.vandercook.edu/,
871,Wiley College,3/16/20,3/16/20,6/30/20,38,,,https://www.wileyc.edu/pandemic-response/,
208,Keene State College,3/17/20,3/18/20,End of semester,3,Extended,,,
206,Macalaster College,3/17/20,3/30/20,End of semester,1,,,,
207,Missouri State University,3/17/20,3/23/20,End of semester,2,,,,
432,Bethany Lutheran College,3/17/20,3/12/20,4/13/20,4,,,https://blc.edu/2020/03/bethany-campus-closing-until-april-14/,
467,"Missouri State University, West Plains",3/17/20,3/17/20,6/30/20,5,,,https://wp.missouristate.edu/coronavirus/,
209,Bloomsburg University,3/18/20,3/23/20,End of semester,1,,,,
734,Southern Oregon University,3/19/20,3/21/20,6/12/20,1,,,https://sou.edu/campus/notifications/#updates,
